etID  | Input | Proto-Mehri-Jibbali | Output {GOLD}
72     | #ɬajbum# | #ɬˈajb# | #ɬajb# {GOLD: #ɬajb#}
73     | #ɬalaːθatum# | #ɬələθˈat# | #ɬələθat# {GOLD: #ɬaːθˈajt#}
74     | #ɬalaːθum# | #ɬəlˈaːθ# | #ɬəlaːθ# {GOLD: #ɬhəliːθ#}
75     | #ɬaraqum# | #ɬərˈaq# | #ɬəraq# {GOLD: #ɬəroːq#}
76     | #ɬuːrum# | #ɬˈuːr# | #ɬuːr# {GOLD: #ɬawr#}
77     | #labanum# | #ləbˈan# | #ləban# {GOLD: #əlboːn#}
78     | #lisanum# | #ləsˈan# | #ləsan# {GOLD: #ɛwʃeːn#}
79     | #raħatum# | #rəħˈat# | #rəħat# {GOLD: #rəħaːt#}
80     | #raħala# | #rəħˈal# | #rəħal# {GOLD: #raħaːl#}
81     | #rapaqatum# | #rəpəqˈat# | #rəpəqat# {GOLD: #rəfəqaːt#}
82     | #raʔsum# | #rˈas# | #ras# {GOLD: #roːh#}
83     | #nahaqa# | #nəhˈaq# | #nəhaq# {GOLD: #nəheːq#}
84     | #naχiːrum# | #nəχˈiːr# | #nəχiːr# {GOLD: #nəχriːr#}
85     | #nasaja# | #nəsˈaj# | #nəsaj# {GOLD: #nəhuː#}
86     | #nasrum# | #nˈasr# | #nasr# {GOLD: #noːhər#}
87     | #napaχa# | #nəpˈaχ# | #nəpaχ# {GOLD: #nəfoːχ#}
88     | #θˀiprum# | #θˀˈipr# | #θˀipr# {GOLD: #ðˀfeːr#}
89     | #θamaːnijatum# | #θəmənəjˈat# | #θəmənəjat# {GOLD: #θəməniːt#}
90     | #θamaːnijum# | #θəmənˈij# | #θəmənij# {GOLD: #θəmoːni#}
91     | #θinatum# | #θənˈat# | #θənat# {GOLD: #θrajt#}
92     | #θinajum# | #θənˈaj# | #θənaj# {GOLD: #θroːh#}
93     | #θinataːni# | #θənətˈaːn# | #θənətaːn# {GOLD: #θroːh#}
94     | #ðakara# | #ðəkˈar# | #ðəkar# {GOLD: #ðeːkər#}
95     | #ðakkum# | #ðˈakk# | #ðakk# {GOLD: #ðaːk#}
96     | #ðanabum# | #ðənˈab# | #ðənab# {GOLD: #ðənoːb#}
97     | #paħasa# | #pəħˈas# | #pəħas# {GOLD: #fħaːs#}
98     | #paħalum# | #pəħˈal# | #pəħal# {GOLD: #faħl#}
99     | #patana# | #pətˈan# | #pətan# {GOLD: #fətoːn#}
100    | #parasum# | #pərˈas# | #pəras# {GOLD: #ferh#}
101    | #parθ# | #pərθ# | #pərθ# {GOLD: #farθ#}
102    | #palaɡum# | #pəlˈaɡ# | #pəlaɡ# {GOLD: #fəleːɡ#}
103    | #baʕlum# | #bˈaʕl# | #bal# {GOLD: #baːl#}
104    | #baʕlatum# | #bəʕlˈat# | #bəlat# {GOLD: #baːliːt#}
105    | #basala# | #bəsˈal# | #bəsal# {GOLD: #bəheːl#}
106    | #baraqum# | #bərˈaq# | #bəraq# {GOLD: #boːrəq#}
107    | #maħasa# | #məħˈas# | #məħas# {GOLD: #maħoːs#}
108    | #mawuta# | #məwˈut# | #məwut# {GOLD: #moːt#}
109    | #maraɬa# | #mərˈaɬ# | #məraɬ# {GOLD: #məreːɮ#}
110    | #marrara# | #mərrˈar# | #mərrar# {GOLD: #mər#}
111    | #midrum# | #mˈidr# | #midr# {GOLD: #mədeːr#}
112    | #mina# | #mən# | #mən# {GOLD: #mən#}
